Kapitel;Datenfeld;"Pflicht
(jeweils bezogen auf das zugehörige Kapitel)";MIND-Kapitel;DIVI-Kapitel;Zugehörigkeit DIVI-MIND;Einfach-/ Mehrfach E/M;Bezeichnung Merkmal Ausprägung;"MIND-
Teildatensatz Notarzt (NA) Rettungsdienst (RD)";Erläuterungen;Hinweise /Plausibilitäten/Abhängigkeiten;techn. Default MIND;In FHIR umgesetzt?;Anmerkung zur Umsetzung
AbschlussBefundeBTAV;EtCO2Wert2;siehe Hinweise/ Plausibilitäten/ Abhängigkeiten;;;M;E;"etCO2  Wert (zuletzt unter Beatmung in mmHg gemessen):
Werteliste siehe Tabellenblatt Codes";NA + RD;"Bedeutet Kapnometrie durchgeführt, wenn Angabe im Wertebereich oder 999.
Pflicht wenn Atemwegssicherung oder maschinelle invasive Beatmung (unterstützt oder kontrolliert) dokumentiert.";"Pflicht wenn:
Airway GLEICH  (03 ODER 05 ODER  07)
ODER Atemunterst GLEICH  05
Wenn EtCO2Wert2 Pflicht, dann ist -2 unzulässig.";-2;;
Kapitel: Zielklinik;Kapitel: Zielklinik;;;;;;;;"Pflicht für NA-Protokolle, wenn es sich bei dem dokumentierenden Rettungsmittel um ein bodengebundenes
notarztbesetztes Rettungsmittel handelt, ein Patiententransport stattfindet und der Notarzt den Transport begleitet oder der RTW den Transport ohne ärztliche Begleitung durchführt.
Pflicht für NA-Protokolle, wenn es sich bei dem dokumentierenden Rettungsmittel um ein luftgebundenes notarztbesetztes Rettungsmittel handelt, ein Patiententransport stattfindet und der Notarzt den Transport begleitet oder der RTW den Transport ohne ärztliche Begleitung durchführt.
Pflicht für RD-Protokolle, wenn ein Patiententransport stattfindet und der Transport nicht durch einen physisch anwesenden Notarzt, sondern allenfalls durch einen Telenotarzt begleitet wird";"Pflicht wenn:
Protokolltyp GLEICH  NA
UND DokRM GLEICH  (01 ODER  04 ODER  07 ODER  13)
UND RDTransport GLEICH  (03 ODER  04 ODER  05 ODER  06
ODER 07 ODER  08 ODER  09 ODER 98)
UND AerztlBegleit ENTHÄLT ( 00 ODER 01)
ODER
Protokolltyp GLEICH  NA
UND DokRM GLEICH  (05 ODER  06)
UND RDTransport GLEICH  (03 ODER  04 ODER  05 ODER  06
ODER  07 ODER  08 ODER  09 ODER 98)
UND  AerztlBegleit ENTHÄLT ( 00 ODER 02)
ODER
Protokolltyp GLEICH  RD
UND  RDTransport GLEICH  (03 ODER  04 ODER  05 ODER  06
ODER  07 ODER 08 ODER  09 ODER 98)
UND  AerztlBegleit ENTHÄLT  (00 ODER 03)
UND AerztlBegleit ENTHÄLT NICHT  (01 ODER 02 ODER 04
ODER 05 ODER  98)";;;
Zielklinik;NummerZK;Ja;Zielklinik;;M;E;"Kennung der Zielklinik
Werteliste siehe Tabellenblatt Codes";NA + RD;"• Standortnummer nach §293 Absatz 6 SGB V aus dem bundesweiten Verzeichnis der Standorte der nach §
108 SGB V zugelassenen Krankenhäuser und ihrer Ambulanzen.
Falls nur die Standort-ID bekannt ist (= erste 6 Stellen der Standortnummer) ist diese nach der 6. Stelle   mit ""0"" (Null) auf 9 Stellen aufzufüllen: Standortnummer (9-stellig: 77nnnnnnn) oder Standort-ID (6-stellig: 77nnnn000) der Zielklinik.
• Einmalige Anlage aller regelhaft angefahrenen/angeflogenen Krankenhäuser der Akutversorgung in Stammdatenbank erforderlich.
• Für Einrichtungen ohne Standortnummer müssen auf örtlicher Ebene alternative Definitionen getroffen werden.";"Wenn Kapitel ""Zielklinik"" Pflicht, dann ist -2 unzulässig.";-2;;
Zielklinik;AnmeldungPatient;"siehe Hinweise/
Plausibilitäten/ Abhängigkeiten";Zielklinik;EinsatztechnischeDaten;DM;E;"Wurde der Patient in der Zielklinik angemeldet?
Muss bei Patiententransport angegeben werden, auch wenn die Anmeldung durch die Leitstelle erfolgt.
Werteliste siehe Tabellenblatt Codes";NA + RD;"• Patientenanmeldung durch Fahrzeugbesatzung oder Leitstellenpersonal.
• Mindestens einmal pro Patient erforderlich.
Pflicht für NA-Protokolle, wenn ein Patiententransport stattgefunden hat, der durch den dokumentierenden NA begleitet wurde.
Pflicht für RD-Protokolle, wenn ein Patiententransport stattfindet und der Transport nicht durch einen physisch anwesenden Notarzt, sondern allenfalls durch einen Telenotarzt begleitet wird und es sich nicht um einen Krankentransport handelt.";"Wenn Kapitel ""Zielklinik"" Pflicht, dann ist -2 unzulässig.
Pflicht wenn:
Protokolltyp GLEICH  NA
UND DokRM GLEICH  (01 ODER  04 ODER  07 ODER 13)
UND RDTransport GLEICH  (03 ODER  04 ODER  05 ODER 06
ODER  07 ODER  08 ODER 09 ODER  98)
UND AerztlBegleit GLEICH  01
ODER
Protokolltyp GLEICH  NA
UND  DokRM GLEICH  (05 ODER 06)
UND  RDTransport GLEICH  (03 ODER  04 ODER  05 ODER  06
ODER  07 ODER  08 ODER 09 ODER 98)
UND AerztlBegleit GLEICH  02
ODER
Protokolltyp GLEICH  RD
UND  RDTransport GLEICH  (03 ODER  04 ODER  05 ODER  06
ODER  07 ODER  08 ODER 09 ODER  98)
UND  AerztlBegleit ENTHÄLT  (00 ODER  03)
UND AerztlBegleit ENTHÄLT NICHT  (01 ODER  02 ODER 04
ODER  05 ODER  98)
UND  EinsatzArt NICHT  10";-2;;
Zielklinik;AnmeldungWo;Nein;;EinsatztechnischeDaten;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Werteliste zur speziellen Ressource des Krankenhauses, die eine spezifische Voranmeldung erfordert;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Zielklinik;AnmeldungWoSonstige;Nein;;EinsatztechnischeDaten;D;E;Text, Zeichenlimit 200;;"Speziellen Ressource des Krankenhauses, die eine spezifische Voranmeldung erfordert aber in der zugehörigen Liste
nicht aufgeführt ist";Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Zielklinik;Transportziel;Nein;;EinsatztechnischeDaten;D;E;Text, Zeichenlimit 200;;Name des Transportziels, ggf. mit Adresse;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Kapitel: EinsatzBesonderheiten;Kapitel: EinsatzBesonderheiten;;;;;;;;;"Pflicht wenn:
EinsatzArt NICHT  (11 ODER  12)";;;
EinsatzBesonderheiten;Einsatzbesonderheiten;Ja;EinsatzBesonderheiten;Einsatzverlauf + Bemerkungen + EinsattechnDaten;DM;M;"Einsatzbesonderheiten
Werteliste siehe Tabellenblatt Codes";NA + RD;"• Abweichung von medizinischen Standards,
• Abweichung vom Zeitablauf,
• erhöhter Aufwand.
Ablehnung indizierter Maßnahmen (z.B. Diagnostik, Therapie) durch Patienten: 02.   Transportverweigerung ist im Feld KeinTranspMitPat zu dokumentieren (04 = Patient lehnt Transport ab).
Pflicht, außer für Dienstfahrten und Pauseneinsätze";Kombinationen mit 00 sind unzulässig.;-2;T;Terminologie: mind-einsatzbesonderheit-cs / MindEinsatzbesonderheitVS. Noch kein Profil.
EinsatzBesonderheiten;PreEmergencyStatus;Nein;EinsatzBesonderheiten;Notfallgeschehen;DM;E;Werteliste siehe Tabellenblatt Codes_DIVI;NA + RD;Schwere der Vorerkrankungen, Zustand vor Eintritt des Notfalls.;;-2;T;Terminologie: mind-pre-emergency-status-cs / MindPreEmergencyStatusVS. Noch kein Profil.
Kapitel: Reanimation;Kapitel: Reanimation;;;;;;;;"Pflicht für NA-Protokolle, wenn die Diagnose Herz-Kreislauf-Stillstand, ein SIDS, eine primäre Todesfeststellung (ohne CPR) oder ""Patient im Einsatzverlauf verstorben"" dokumentiert wurde.
Pflicht für RD-Protokolle, wenn die Diagnose Herz-Kreislauf-Stillstand dokumentiert wurde, oder bei einer Todesfeststellung bzw. einer Dokumentation des Todes im Einsatzverlauf, aber nur wenn eine Notfallrettung ohne erkennbare primäre NA-Beteiligung  vorliegt.";"Pflicht wenn:
Protokolltyp GLEICH NA
UND  (Diagnose ENTHÄLT  (1220 ODER 1813)
ODER KeinTranspMitPat GLEICH  [02 ODER  03])
ODER
Protokolltyp GLEICH  RD
UND  (Diagnose ENTHÄLT ( 1220 ODER  1813)
ODER KeinTranspMitPat GLEICH  [02 ODER  03])
UND EinsatzArt GLEICH  (02 ODER 04 ODER  06 ODER  08)";;;
Reanimation;Reanimationssituation;Ja;Reanimation;Reanimation;M;E;"Wurde eine Reanimation durchgeführt?
Werteliste siehe Tabellenblatt Codes";NA + RD;"Eine begonnene Reanimation ist mit 01 oder 02 oder 03 zu dokumentieren.
Bei primärer Todesfeststellung (ohne CPR) ist nur ""Reanimation nicht durchgeführt..."" zulässig.
Ohne Patientenkontakt ist nur ""keine Reanimationssituation (kein Tod/kein Kreislaufstillstand)"" zulässig.
Bei Diagnose Herz-Kreislauf-Stillstand oder SIDS bzw. bei Dokumentation ""Patient im Einsatzverlauf verstorben"" ist ""keine Reanimationssituation (kein Tod/kein Kreislaufstillstand)"" unzulässig.";"Triggerfeld für Dokumentationsumfang und Plausibilitätsprüfungen.
Wenn KeinTranspMitPat GLEICH  02, dann ist Reanimationssituation GLEICH  (00 ODER 01 ODER  02 ODER  03
ODER 04) unzulässig.
Wenn RDTransport GLEICH  02, dann ist nur Reanimationssituation GLEICH  00 zulässig.
Wenn Diagnose ENTHÄLT ( 1220 ODER  1813) ODER KeinTranspMitPat GLEICH  03 dann ist Reanimationssituation GLEICH  00 unzulässig.";-2;T;Terminologie: mind-reanimationssituation-cs / MindReanimationssituationVS. Noch kein Profil.
Kapitel: ReanimationDetails;Kapitel: ReanimationDetails;;;;;;;;"Pflicht für NA-Protokolle, wenn dokumentierendes Rettungsmittel Reanimation durchgeführt hat.
Pflicht für RD-Protokolle, wenn dokumentierendes Rettungsmittel Reanimation durchgeführt hat und eine Notfallrettung ohne erkennbare NA-Beteiligung bzw. -Nachforderung vorliegt.";"Pflicht wenn:
Protokolltyp GLEICH  NA
UND Reanimationssituation GLEICH  (01 ODER  02 ODER  03)
ODER
Protokolltyp GLEICH RD
UND Reanimationssituation GLEICH  (01 ODER  02 ODER  03)
UND EinsatzArt GLEICH  (02 ODER  04 ODER  06 ODER  08)
UND NotarztNachgefordert GLEICH  02";;;
ReanimationDetails;Reanimationstechnik;Ja;ReanimationDetails;Massnahmen;DM;M;Werteliste siehe Tabellenblatt Codes;NA + RD;;"Wenn Reanimationssituation GLEICH  (00 ODER  05 ODER  06 ODER  07 ODER  08), dann sind alle Werte außer -2 unzulässig.
Kombinationen mit -1 sind unzulässig.";-2;T;Terminologie: mind-reanimationstechnik-cs / MindReanimationstechnikVS. Noch kein Profil.
ReanimationDetails;URKRSTST;Ja;ReanimationDetails;Massnahmen;DM;E;"Vermutete Ursache des Kreislaufstillstandes
Werteliste siehe Tabellenblatt Codes";NA + RD;Die internationalen Vorgaben des Utstein-Style Protokolls unterscheiden die Ursachen eines Kreislaufstillstandes in mehreren Sektionen. Gefragt ist die aus Sicht des Notarztes vermutliche Ursache.;Wenn Reanimationssituation GLEICH  00, dann sind alle Werte außer -2 unzulässig.;-2;T;Terminologie: mind-kreislaufstillstandursache-cs / MindKreislaufstillstandursacheVS. Noch kein Profil.
ReanimationDetails;SPORT;Nein;ReanimationDetails;Massnahmen;DM;E;"Zusammenhang mit sportlicher Aktivität:
Werteliste siehe Tabellenblatt Codes";NA + RD;Besteht ein Zusammenhang des Kreislaufstillstandes mit sportlicher Aktivität?;Wenn Reanimationssituation GLEICH  00, dann sind alle Werte außer -2 unzulässig.;-2;;
ReanimationDetails;ZEOFR;Nein;ReanimationDetails;Notfallgeschehen;DM;E;Zeitstempel Eintreffen First Responder Angabe von Datum und Uhrzeit;NA + RD;"Eintreffzeit eines First Responders als ""Vorausversorger"" neben dem regulären Rettungsdienst am Einsatzort.";"Wenn Reanimationssituation GLEICH  00, dann sind alle Werte außer ""1902-02-02T22:00:00.000+01:00"" unzulässig.";"1902-02-
02T22:00
:00.000+
01:00";;
ReanimationDetails;ZCKB;Ja;ReanimationDetails;Massnahmen;DM;E;"Person Kollaps beobachtet
Werteliste siehe Tabellenblatt Codes";NA + RD;Wer hat den Kollaps beobachtet? Ersthelfer entspricht dem nichtmedizinischen Personal bzw. Laien.;Wenn Reanimationssituation GLEICH  00, dann sind alle Werte außer -2 unzulässig.;-2;T;Terminologie: mind-kollaps-beobachtet-durch-cs / MindKollapsBeobachtetDurchVS. Noch kein Profil.
ReanimationDetails;ZCHDM;Ja;ReanimationDetails;Massnahmen;DM;E;"Person Herzdruckmassage begonnen
Werteliste siehe Tabellenblatt Codes";NA + RD;"Wer hat mit der Herzdruckmassage begonnen bzw. den Beginn angeordnet? (Es ist die jeweils am höchsten
qualifizierte anwesende Person zu dokumentieren)";"Wenn Protokolltyp GLEICH  NA
UND Reanimationssituation GLEICH (05 ODER 06 ODER 07 ODER  08), dann ist 06 unzulässig.
Wenn Protokolltyp GLEICH  RD
UND Reanimationssituation GLEICH  (05 ODER  06 ODER 07 ODER  08), dann sind 05 ODER  06 unzulässig. Wenn Reanimationssituation GLEICH  00, dann sind alle Werte außer -2 unzulässig.";-2;T;Terminologie: mind-herzdruckmassage-durch-cs / MindHerzdruckmassageDurchVS. Noch kein Profil.
ReanimationDetails;ZCDEFI;Ja;ReanimationDetails;Massnahmen;DM;E;"Person Defibrillation durchgeführt
Werteliste siehe Tabellenblatt Codes";NA + RD;"Wer hat die erste Defibrillation durchgeführt bzw. angeordnet? (Es ist die jeweils am höchsten qualifizierte anwesende
Person zu kodieren.)";"Wenn Protokolltyp GLEICH  NA
UND Reanimationssituation GLEICH (05 ODER 06 ODER 07 ODER  08), dann ist 06 unzulässig.
Wenn Protokolltyp GLEICH  RD
UND Reanimationssituation GLEICH  (05 ODER  06 ODER 07 ODER  08), dann sind 05 ODER  06 unzulässig. Wenn Reanimationssituation GLEICH  00, dann sind alle Werte außer -2 unzulässig.";-2;T;Terminologie: mind-erste-defibrillation-durch-cs / MindErsteDefibrillationDurchVS. Noch kein Profil.
ReanimationDetails;ZHDM;Ja;ReanimationDetails;Massnahmen;DM;E;"Zeitpunkt Beginn Herzdruckmassage
Angabe von Datum und Uhrzeit";NA + RD;Erster Zeitpunkt, zu dem mit der Herzdruckmassage begonnen wurde, ggf. schätzen.;"Wenn Reanimationssituation GLEICH  00, dann sind alle Werte außer ""1902-02-02T22:00:00.000+01:00"" unzulässig.";"1902-02-
02T22:00
:00.000+
01:00";;
ReanimationDetails;ZDEFI1;siehe Hinweise/ Plausibilitäten/ Abhängigkeiten;ReanimationDetails;Massnahmen;DM;E;Zeitpunkt erste Defibrillation Angabe von Datum und Uhrzeit;NA + RD;"Zeitpunkt der ersten Defibrillation.
Pflicht für NA-Protokolle, wenn eine Defibrillation durch den KTW, RTW oder NA dokumentiert wurde
Pflicht für RD-Protokolle, wenn eine Defibrillation durch den KTW oder RTW dokumentiert wurde und eine Notfallrettung ohne erkennbare NA-Beteiligung bzw. -Nachforderung vorliegt.";"Pflicht wenn:
Protokolltyp GLEICH NA UND ZCDEFI GLEICH  (04 ODER  05 ODER  06) ODER
Protokolltyp GLEICH  RD UND  ZCDEFI GLEICH  (04 ODER  05)
UND EinsatzArt GLEICH  (02 ODER  04 ODER  06 ODER  08)
UND NotarztNachgefordert GLEICH  02
Wenn Reanimationssituation GLEICH  00, dann sind alle Werte außer ""1902-02-02T22:00:00.000+01:00"" unzulässig.";"1902-02-
02T22:00
:00.000+
01:00";;
ReanimationDetails;ZROSC1;"siehe Hinweise/
Plausibilitäten/ Abhängigkeiten";ReanimationDetails;Massnahmen;DM;E;"Zeitpunkt 1. ROSC
Angabe von Datum und Uhrzeit";NA + RD;"Bei Wiedereintritt eines Eigenkreislaufs (ROSC) ist die Zeit zu notieren. Ab diesem Zeitpunkt hat der Patient einen
eigenen Kreislauf mit einem messbaren Puls. Auch wenn dieser wieder zusammenbricht. ROSC = return of spontaneous circulation (Spontankreislauf)";"Pflicht wenn:
ROSC GLEICH  02
Wenn Reanimationssituation GLEICH  (00 ODER  05 ODER  06 ODER  07 ODER  08), dann sind alle Werte außer ""1902-02-02T00:00:00"" unzulässig.";"1902-02-
02T22:00
:00.000+
01:00";;
ReanimationDetails;ROSC;Ja;ReanimationDetails;Massnahmen;DM;E;"Erreichen eines Spontankreislaufs
Werteliste siehe Tabellenblatt Codes";NA + RD;"Konnte durch die Reanimationsmaßnahmen jemals ein spontaner Kreislauf > 20 Sekunden etabliert werden?
Wenn laut Feld KHAUF ""Krankenhausaufnahme mit ROSC"", dann in Feld ROSC nur "" jemals ROSC"" zulässig.";"Wenn KHAUF GLEICH  02, dann nur ROSC GLEICH  02 zulässig.
Wenn Reanimationssituation GLEICH  (00 ODER  05 ODER  06 ODER  07 ODER  08), dann sind alle Werte außer -2 unzulässig.";-2;T;Terminologie: mind-rosc-cs / MindRoscVS. Noch kein Profil.
ReanimationDetails;KHAUF;Ja;ReanimationDetails;Reanimation;DM;E;"Patientenzustand bei Krankenhausaufnahme
Werteliste siehe Tabellenblatt Codes";NA + RD;Zustand bei Übergabe an die Zielklinik.;"Wenn Reanimationssituation GLEICH  00, dann sind alle Werte außer -2 unzulässig.
Wenn Reanimationssituation GLEICH   (05 ODER 06 ODER  07 ODER  08), dann sind alle Werte außer 01 unzulässig.";-2;T;Terminologie: mind-krankenhausaufnahme-zustand-cs / MindKrankenhausaufnahmeZustandVS. Noch kein Profil.
ReanimationDetails;ZTOD;Nein;ReanimationDetails;Reanimation;DM;E;"Zeitpunkt TOD
Angabe von Datum und Uhrzeit";NA + RD;Beendigungszeitpunkt der Reanimationsmaßnahmen.;"Wenn Reanimationssituation GLEICH  (00 ODER  05 ODER  06 ODER  07 ODER  08), dann sind alle Werte außer ""1902-02-02T00:00:00"" unzulässig.";"1902-02-
02T22:00
:00.000+
01:00";;
ReanimationDetails;ReanimationJa;Nein;;Massnahmen;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Werteliste ob und mit welchem Erfolg eine Reanimation erfolgte;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ReanimationDetails;ReanimationFeedback;Nein;;Massnahmen;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Ja = Ein Feedbacksystem wurde eingesetzt, Nein = Es wurde kein Feedbacksystem eingesetzt, Leer = wie Nein;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ReanimationDetails;ReanimationTelefon;Nein;;Massnahmen;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Ja = Telefonreanimation wurde eingesetzt, Nein = Telefonreanimation wurde nicht eingesetzt, Leer = wie Nein;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ReanimationDetails;ReanimationNein;Nein;;Massnahmen;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Werteliste, warum eine Reanimation bei reaktionslosem Patienten nicht eingesetzt wurde;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ReanimationDetails;ReanimationNeinSonstige;Nein;;Massnahmen;D;E;Text, Zeichenlimit 200;;"Text warum eine Reanimation bei reaktionslosem Patienten nicht eingesetzt wurde, wenn Wert in zugehöriger
Werteliste nicht enthalten ist";Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ReanimationDetails;UrsacheSonstige;Nein;;Reanimation;D;E;Text, Zeichenlimit 200;;Vermutete Ursache des Kreislaufstillstands, wenn in der zugehörigen Werteliste nicht angegeben;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ReanimationDetails;KollapsBeobachtetSonstige;Nein;;Reanimation;D;E;Text, Zeichenlimit 200;;Angabe zur Person, die den Kollaps beobachtet hat, wenn in den zugehörigen Feldern nicht aufgelistet;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ReanimationDetails;BeginnHDMSonstige;Nein;;Reanimation;D;E;Text, Zeichenlimit 200;;Angabe zur Person, die mit der Reanimation begonnen hat, wenn in den zugehörigen Feldern nicht aufgelistet;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ReanimationDetails;ErsteDefiSonstige;Nein;;Reanimation;D;E;Text, Zeichenlimit 200;;Angabe zur Person, die die erste Defibrillation durchgeführt hat, wenn in den zugehörigen Feldern nicht aufgelistet;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ReanimationDetails;TodInfo;Nein;;Reanimation;D;M;Werteliste siehe Tabellenblatt Codes_DIVI;;Werteliste zu Todeszeitpunkt und Ort des Todes;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ReanimationDetails;TodArt;Nein;;Reanimation;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Werteliste zur Todesart;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ReanimationDetails;TodZeit;Nein;;Reanimation;D;E;Angabe von Datum und Uhrzeit;;Zeitpunkt des Todes (Festlegung durch Arzt der die ggf. vorläufige oder endgültige Leichenschau macht);Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
