Kapitel-/Feldname;"Pflicht
(jeweils bezogen auf das zugehˆrige Kapitel)";Einfach-/ Mehrfach E/M;Bezeichnung Merkmal Auspr‰gung;Teildatensatz Notarzt (NA) Rettungsdienst (RD);Erl‰uterungen;Hinweise /Plausibilit‰ten/Abh‰ngigkeiten;techn. Default MIND;
Diagnose;Ja;M;"Verdachtsdiagnose(n)
Werteliste siehe Tabellenblatt Codes";NA + RD;"Hier sollen nur einsatzrelevante Diagnosen und keine Vorerkrankungen dokumentiert werden.
ï (Verdachts-)Diagnose der Not‰rztin/des Notarztes bzw. der Notfallsanit‰terin/des Notfallsanit‰ters
ï Verstorbene Patienten kˆnnen mit 1220 = Herz-Kreislauf-Stillstand oder 1813 = SIDS codiert werden.
ï Bei einer Anaphylaxie Grad 4 soll zus‰tzlich die Diagnose 1220 = Herz-Kreislauf-Stillstand dokumentiert werden.
ï Bei tˆdlichen Verletzungen soll zus‰tzlich die Diagnose 1220 = Herz-Kreislauf-Stillstand dokumentiert werden.
ï Bitte die Differenzierung zwischen hypertensivem Notfall (mit Organsch‰den und Lebensgefahr, z.B. AP- Beschwerden, Lungenˆdem, neurologische Symptome) und hypertensiver Entgleisung (ohne Organsch‰den/Lebensgefahr) beachten!";"Wenn Kapitel ""Diagnosen"" Pflicht, dann ist -2 unzul‰ssig.";-2;
Kapitel: VerletzungenDetails;;;;;Pflicht f¸r NA- und RD-Protokolle, wenn mindestens eine Verletzung aus Diagnosecodeliste mit f¸hrender 2 vorhanden.;"Pflicht wenn:
Mindestens ein Diagnose-Code GLEICH  2nnn";;
Verletzungsmuster;Ja;E;"Verletzungsmuster
Werteliste siehe Tabellenblatt Codes";NA + RD;Polytrauma: Gleichzeitig entstandene Verletzungen mehrerer Kˆrperregionen oder Organsysteme, wobei wenigstens eine Verletzung oder die Kombination mehrerer lebensbedrohlich ist.;"Wenn Kapitel ""VerletzungenDetails"" Pflicht, dann ist -2 unzul‰ssig.";-2;
Unfallursache;Ja;E;"Unfallursache
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""VerletzungenDetails"" Pflicht, dann ist -2 unzul‰ssig.";-2;
Unfallmechanismus;Ja;M;"Unfallmechanismus
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""VerletzungenDetails"" Pflicht, dann ist -2 unzul‰ssig.
Kombinationen mit 99 sind unzul‰ssig.";-2;
Unfallhergang;Ja;M;"Unfallhergang
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""VerletzungenDetails"" Pflicht, dann ist -2 unzul‰ssig.
Kombinationen mit 99 sind unzul‰ssig.";-2;
HelmPat;Nein;E;"Helm Patient
Werteliste siehe Tabellenblatt Codes";NA + RD;Hat der/die Verunfallte zum Zeitpunkt des Unfalls einen Helm getragen?;;-2;
Kapitel: Scores;;;;;"Pflicht f¸r NA-Protokolle, wenn ein Patientenkontakt stattgefunden hat, auﬂer wenn es sich um eine Hilfeleistung oder eine Unterst¸tzung eines anderen Rettungsmittels handelt..
Pflicht f¸r RD-Protokolle, wenn ein Patientenkontakt stattgefunden hat, auﬂer wenn es sich um einen Krankentransport, eine Hilfeleistung, eine Unterst¸tzung eines anderen Rettungsmittels oder um eine Verlegung mit physisch anwesendem Notarzt handelt.";"Pflicht wenn:
Protokolltyp GLEICH  NA
UND  RDTransport GLEICH  (01 ODER  03 ODER  04 ODER  05
ODER  06 ODER  07 ODER  08
ODER  09 ODER  98)
UND  KeinTranspMitPat NICHT  (05 ODER  08)
ODER
Protokolltyp GLEICH  RD
UND  RDTransport GLEICH  (01 ODER  03 ODER  04 ODER  05
ODER  06 ODER  07 ODER  08
ODER  09 ODER  98)
UND  KeinTranspMitPat NICHT  (05 ODER  08)
UND  EinsatzArt NICHT  (05 ODER  07 ODER  10)";;
NACAScore;Ja;E;Werteliste siehe Tabellenblatt Codes;NA + RD;Subjektive Einsch‰tzung der Schwere der Erkrankung oder Verletzung durch das rettungsdienstliche Personal. Es gilt die jeweils schlimmste Auspr‰gung im Einsatzverlauf.;"Wenn Kapitel ""Scores"" Pflicht, dann ist -2 unzul‰ssig.";-2;
MNACAScore;Nein;E;"M-NACAScore
Werteliste siehe Tabellenblatt Codes";NA + RD;"Objektivierung des NACA Scores.
Soll aus dokumentierten Feldern berechnet werden!";;-2;
Kapitel: RDMassnahmen;;;;;"Pflicht f¸r NA-Protokolle, wenn ein Patientenkontakt stattgefunden hat - auﬂer wenn es sich um eine prim‰re Todesfeststellung (ohne CPR), eine Hilfeleistung oder eine Unterst¸tzung eines anderen Rettungsmittels handelt.
Pflicht f¸r RD Protokolle, wenn ein Patientenkontakt stattgefunden hat - auﬂer wenn es sich um einen Krankentransport, eine prim‰re Todesfeststellung (ohne CPR), eine Hilfeleistung oder eine Unterst¸tzung eines anderen Rettungsmittels handelt oder ein physisch anwesender NA prim‰r mitalarmiert oder nachgefordert wurde.";"Pflicht wenn:
Protokolltyp GLEICH  NA
UND   RDTransport GLEICH  (01 ODER  03 ODER  04 ODER  05
ODER  06 ODER  07 ODER  08
ODER  09 ODER  98)
UND  KeinTranspMitPat NICHT  (02 ODER  05 ODER  08)
ODER
Protokolltyp GLEICH  RD
UND  RDTransport GLEICH  (01 ODER  03 ODER  04 ODER  05
ODER  06 ODER  07 ODER  08
ODER  09 ODER  98)
UND  KeinTranspMitPat  NICHT (02 ODER  05 ODER  08)
UND  NotarztNachgefordert GLEICH  02
UND  EinsatzArt GLEICH  (02 ODER  04 ODER  06 ODER  08)";;
Airway;Ja;M;"Airway Maﬂnahmen
Werteliste siehe Tabellenblatt Codes";NA + RD;"Bei vorbestehendem Tracheostoma ohne eigene Maﬂnahmen soll ""keine Maﬂnahmen durchgef¸hrt"" codiert werden";"Wenn Kapitel ""RDMassnahmen"" Pflicht, dann ist -2 unzul‰ssig.
Kombinationen mit -1 sind unzul‰ssig.";-2;
Atemunterst;Ja;M;"Atemunterst¸tzung - Beatmung
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""RDMassnahmen"" Pflicht, dann ist -2 unzul‰ssig.
Kombinationen mit -1 sind unzul‰ssig.";-2;
CirculationZugang;Ja;M;"Medikamentenzugang
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""RDMassnahmen"" Pflicht, dann ist -2 unzul‰ssig.
Kombinationen mit -1 sind unzul‰ssig.";-2;
SpezMassn;Ja;M;"Spezielle Maﬂnahmen
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""RDMassnahmen"" Pflicht, dann ist -2 unzul‰ssig.
Kombinationen mit -1 sind unzul‰ssig.";-2;
EKG12Kanal;siehe Hinweise/ Plausibilit‰ten/ Abh‰ngigkeiten;M;Dokumentation eines 12-Kanal-EKGs Werteliste siehe Tabellenblatt Codes;NA + RD;Pflicht bei dokumentiertem ACS, STEMI oder Thoraxschmerz unklarer Genese;"Pflicht wenn:
Diagnose ENTHƒLT  (1201 ODER  1202 ODER  1203 ODER 1 204)
Wenn EKG12Kanal Pflicht, dann ist -2 unzul‰ssig. Kombinationen mit -1 sind unzul‰ssig.";-2;
Medizintechnik;Ja;M;"Medizintechnik
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""RDMassnahmen"" Pflicht, dann ist -2 unzul‰ssig.
Kombinationen mit -1 sind unzul‰ssig.";-2;
LagTrans;Ja;M;"Lagerungs- und Rettungstechnik
Werteliste siehe Tabellenblatt Codes";NA + RD;Mit HWS-Immobilisation ist nicht nur die Anlage einer Cervicalst¸tze gemeint, sondern auch andere Methoden der Immobilisation wie z.B. Headblocks.;"Wenn Kapitel ""RDMassnahmen"" Pflicht, dann ist -2 unzul‰ssig.
Kombinationen mit -1 sind unzul‰ssig.";-2;
DurchfHeilkundlMassn;siehe Hinweise/ Plausibilit‰ten/ Abh‰ngigkeiten;M;Durchf¸hrung heilkundlicher Maﬂnahmen Werteliste siehe Tabellenblatt Codes;RD;Hiermit sind durchgef¸hrte heilkundliche Maﬂnahmen durch Notfallsanit‰ter gemeint;"Pflicht wenn:
Protokolltyp GLEICH  RD
UND  DokRM GLEICH  (02 ODER  15)
Wenn DurchfHeilkundlMassn Pflicht, dann ist -2 unzul‰ssig. Kombinationen mit 03 sind unzul‰ssig.";-2;
Behandlungspfad;siehe Hinweise/ Plausibilit‰ten/ Abh‰ngigkeiten;M;Werteliste siehe Tabellenblatt Codes;RD;Hier soll dokumentiert werden, welcher Behandlungspfad genutzt wurde (sinngleich Standardarbeitsanweisungen, Algorithmen, Handlungsempfehlungen etc. nach ˆrtlicher Vorgabe);"Pflicht wenn:
Protokolltyp GLEICH  RD
UND  DurchfHeilkundlMassn GLEICH  (01 ODER  02)
Wenn Behandlungspfad Pflicht, dann ist -2 unzul‰ssig.";-2;
Kapitel: MedikamentoeseTherapie;;;;;"Pflicht f¸r NA-Protokolle, wenn ein Patientenkontakt stattgefunden hat - auﬂer wenn es sich um eine prim‰re Todesfeststellung (ohne CPR), eine Hilfeleistung oder eine Unterst¸tzung eines anderen Rettungsmittels handelt.
Pflicht f¸r RD Protokolle, wenn ein Patientenkontakt stattgefunden hat - auﬂer wenn es sich um einen Krankentransport, eine prim‰re Todesfeststellung (ohne CPR), eine Hilfeleistung oder eine Unterst¸tzung eines anderen Rettungsmittels handelt oder ein physisch anwesender NA prim‰r mitalarmiert oder nachgefordert wurde.";"Pflicht wenn:
Protokolltyp GLEICH  NA
UND   RDTransport GLEICH  (01 ODER  03 ODER  04 ODER  05
ODER  06 ODER  07 ODER  08
ODER  09 ODER  98)
UND  KeinTranspMitPat NICHT  (02 ODER  05 ODER  08)
ODER
Protokolltyp GLEICH  RD
UND  RDTransport GLEICH  (01 ODER  03 ODER  04 ODER  05
ODER  06 ODER  07 ODER  08
ODER  09 ODER  98)
UND  KeinTranspMitPat NICHT  (02 ODER  05 ODER  08)
UND  NotarztNachgefordert GLEICH  02
UND  EinsatzArt GLEICH  (02 ODER  04 ODER  06 ODER  08)";;
Medikamentengabe;Ja;M;"Medikamentencodes f¸r Art des Medikaments und Applikationsweg
Werteliste siehe Tabellenblatt Codes";NA + RD;"Nur einsatzrelevante Medikamente dokumentieren.
Auch eine Vorbehandlung durch Andere soll dokumentiert werden, da diese f¸r verschiedene Indikatoren relevant sein kann (f¸r jede Medikamenten-Gruppe separat dokumentierbar).
Dauermedikation und Verabreichung durch Andere (Hausarzt, andere Rettungsmittel etc.): nn97xx";"Wenn Kapitel ""MedikamentoeseTherapie"" Pflicht, dann ist -2 unzul‰ssig. Kombinationen mit 999999 sind unzul‰ssig.";-2;
Infusionsgabe;Ja;M;"Medikamentencodes f¸r Art der Infusion und Applikationsweg
Werteliste siehe Tabellenblatt Codes";NA + RD;"Nur einsatzrelevante Medikamente dokumentieren
Dauermedikation und Verabreichung durch Andere (Hausarzt, andere Rettungsmittel etc.): nn97xx";"Wenn Kapitel ""MedikamentoeseTherapie"" Pflicht, dann ist -2 unzul‰ssig.
Kombinationen mit 999999 sind unzul‰ssig.";-2;
Kapitel: AbschlussBefundeBT;;;Abschlussbefunde bei Transport;;"Pflicht f¸r NA-Protokolle, wenn ein Patiententransport stattgefunden hat. Sofern der dokumentierende NA den Transport nicht begleitet, m¸ssen die Befunde zum Zeitpunkt der ‹bergabe an das andere Rettungsmittel dokumentiert werden (d.h. f¸r Feld OrtPatUeberg i.d.R. 15 = Einsatzstelle).
Pflicht f¸r RD-Protokolle, wenn ein Patiententransport stattfindet und der Transport nicht durch einen physisch anwesenden Notarzt, sondern allenfalls durch einen Telenotarzt begleitet wird und es sich nicht um einen Krankentransport handelt.";"Pflicht wenn:
Protokolltyp GLEICH  NA
UND  RDTransport GLEICH  (03 ODER  04 ODER  05 ODER  06
ODER  07 ODER  08 ODER  09 ODER  98)
ODER
Protokolltyp GLEICH  RD
UND  RDTransport GLEICH  (03 ODER  04 ODER  05 ODER  06
ODER  07 ODER  08 ODER  09 ODER  98)
UND  AerztlBegleit ENTHƒLT  (00 ODER  03)
UND  AerztlBegleit ENTHƒLT NICHT  (01 ODER  02 ODER  04
ODER  05 ODER 98)
UND  EinsatzArt NICHT  10";;
Bewusstsein2;Ja;E;"Bewusstseinslage
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzul‰ssig.";-2;
GlasgowComaScale2;Ja;E;"Glasgow Coma Scale
Werteliste siehe Tabellenblatt Codes";NA + RD;Bei Seitendifferenz bessere Seite.;"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzul‰ssig.";-2;
NeurologischeAuffaelligkeiten2;Ja;M;"Neurologische Auff‰lligkeiten
Werteliste siehe Tabellenblatt";NA + RD;"ï sNIHSS-EMS Items und BEFAST werden abgebildet.
ï die Dokumentation von Schweregraden und der Kˆrperseite ist im MIND nicht vorgesehen";"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzul‰ssig.
Kombinationen mit 00, -1 oder 99 sind unzul‰ssig.";-2;
SystolischerBlutdruck2;Ja;E;"Systolischer Blutdruck Messwert in mmHg
Werteliste siehe Tabellenblatt Codes";NA + RD;Bedeutet RR-Messung durchgef¸hrt, wenn Angabe im Wertebereich oder 999.;"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzul‰ssig.";-2;
EKGBefund2;Ja;M;"EKG-Befund
Werteliste siehe Tabellenblatt Codes";NA + RD;"Sollten bei Erhebung der Abschlussbefunde mehrere Befunde zutreffen, ist eine Mehrfachauswahl mˆglich (hier sollen keine Auspr‰gungen dokumentiert werden, die vorher im Verlauf des rettungsdienstlichen Einsatzes zutreffend waren und nicht mehr vorhanden sind!).
F¸r QS wird EKG als durchgef¸hrt gewertet, wenn Angabe ungleich -1.";"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzul‰ssig Kombinationen mit -1 oder 99 sind unzul‰ssig.";-2;
Herzfrequenz2;Ja;E;"Herzfrequenz Messwert in /min
Werteliste siehe Tabellenblatt Codes";NA + RD;Vom Monitor abgelesene Herzfrequenz pro Minute (ggf. palpatorisch oder pulsoximetrisch bestimmte Pulsfrequenz, wenn kein EKG abgeleitet wurde).;"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzul‰ssig.
Wenn EKGBefund2 GLEICH  09, dann sind Werte GR÷SSER  0 unzul‰ssig.";-2;
Atemfrequenz2;Ja;E;"Atemfrequenz Messwert in /min
Werteliste siehe Tabellenblatt Codes";NA + RD;Ausgez‰hlte oder vom Monitor abgelesene Atemfrequenz pro Minute.;"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzul‰ssig. Wenn Atmung2 GLEICH  08, dann sind Werte GR÷SSER  0 unzul‰ssig.";-2;
Sauerstoffsaettigung2;Ja;E;"Sauerstoffs‰ttigung Messwert in %
Werteliste siehe Tabellenblatt Codes";NA + RD;"Dieser Wert wird ggf. unter Sauerstofftherapie gemessen
Bedeutet Pulsoxymetrie durchgef¸hrt, wenn Angabe im Wertebereich oder 999.";"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzul‰ssig.";-2;
Schmerzempfinden2;Ja;E;"Schmerzempfinden nach Numerischer Rating Scala (NRS)
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzul‰ssig.";-2;
Atmung2;Ja;M;"Klinische Befunde Atmung
Werteliste siehe Tabellenblatt Codes";NA + RD;"Sollten bei Erhebung der Abschlussbefunde mehrere Befunde zutreffen, ist eine Mehrfachauswahl mˆglich (hier
sollen keine Auspr‰gungen dokumentiert werden, die vorher im Verlauf des rettungsdienstlichen Einsatzes zutreffend waren und nicht mehr vorhanden sind!).";"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzul‰ssig.
Kombinationen mit -1, 00 oder 99 sind unzul‰ssig.";-2;
Psyche2;Ja;M;"Psychischer Zustand
Werteliste siehe Tabellenblatt Codes";;"Sollten bei Erhebung der Abschlussbefunde mehrere Befunde zutreffen, ist eine Mehrfachauswahl mˆglich (hier
sollen keine Auspr‰gungen dokumentiert werden, die vorher im Verlauf des rettungsdienstlichen Einsatzes zutreffend waren und nicht mehr vorhanden sind!).";"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzul‰ssig.
Kombinationen mit -1, 00 oder 99 sind unzul‰ssig.";-2;
Pupillenweite2;Ja;E;"Pupillenweite
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzul‰ssig.";-2;
Lichtreaktion2;Ja;E;"Lichtreaktion
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzul‰ssig.";-2;
SoSiTransport;siehe Hinweise/ Plausibilit‰ten/ Abh‰ngigkeiten;E;Sondersignal bei Transport: Werteliste siehe Tabellenblatt Codes;NA + RD;"Sondersignalverwendung des transportierenden Rettungsmittels. Bei Patiententransport durch Hubschrauber: 01
= Ja
Pflicht f¸r NA-Protokolle, wenn ein Patiententransport stattgefunden hat, der durch den dokumentierenden NA begleitet wurde.
Pflicht f¸r RD-Protokolle, wenn ein Patiententransport stattfindet und der Transport nicht durch einen physisch anwesenden Notarzt, sondern allenfalls durch einen Telenotarzt begleitet wird und es sich nicht um einen Krankentransport handelt..";"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzul‰ssig.
Pflicht wenn:
Protokolltyp GLEICH  NA
UND  DokRM GLEICH (01 ODER 04 ODER 07 ODER 13)
UND  RDTransport GLEICH  (03 ODER  04 ODER  05 ODER  06
ODER  07 ODER  08 ODER  09 ODER  98)
UND  AerztlBegleit GLEICH  01
ODER
Protokolltyp GLEICH  NA
UND  DokRM GLEICH  (05 ODER 06)
UND  RDTransport GLEICH  (03 ODER  04 ODER  05 ODER  06
ODER  07 ODER  08 ODER  09 ODER  98)
UND  AerztlBegleit GLEICH  02
ODER
Protokolltyp GLEICH  RD
UND  RDTransport GLEICH  (03 ODER  04 ODER  05 ODER  06
ODER  07 ODER  08 ODER  09 ODER  98)
UND  AerztlBegleit ENTHƒLT  (00 ODER  03)
UND  AerztlBegleit ENTH ƒLT NICHT  (01 ODER  02 ODER  04
ODER  05 ODER  98)
UND  EinsatzArt NICHT  10";-2;
OrtPatUeberg;Ja;E;Werteliste siehe Tabellenblatt Codes;NA + RD;Der Ort, an dem der Patient prim‰r ¸bergeben wird. Sollten mehrere Auswahlmˆglichkeiten zutreffen, ist die f¸r die Weiterversorgung des jeweiligen Patienten spezifischste anzugeben. Sofern der dokumentierende NA den Transport nicht begleitet, ist i.d.R. 15 = Einsatzstelle zutreffend.;"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzul‰ssig.";-2;
Kapitel: AbschlussBefundeBTAV;;;Abschlussbefunde bei Transport und ambulanter Versorgung;;Pflicht f¸r NA- und RD-Protokolle, wenn die Diagnose Hypoglyk‰mie gestellt wurde oder wenn eine Atemwegssicherung oder eine maschinelle invasive Beatmung (unterst¸tzt oder kontrolliert)  stattgefunden hat;"Pflicht wenn:
Airway GLEICH  (03 ODER  05 ODER  07)
ODER  Atemunterst GLEICH  05
ODER
Diagnose ENTHƒLT  1601 (Hypoglyk‰mie)";;
Blutzuckerwert2;siehe Hinweise/ Plausibilit‰ten/ Abh‰ngigkeiten;E;"Blutzucker
Messwert in mg/dl bzw. mmol/l Werteliste siehe Tabellenblatt Codes";NA + RD;Bedeutet Blutzuckermessung durchgef¸hrt, wenn Angabe im Wertebereich, 997, 998 oder 999;"Triggerfeld f¸r Dokumentationsumfang und Plausibilit‰tspr¸fungen.
Bei Auswahl 0 bis 900 bzw. 0.0 bis 50.0 wird BlutzuckerEinheit zum Pflichtfeld Pflicht wenn:
Diagnose ENTHƒLT  1601
Wenn Blutzuckerwert2 Pflicht, dann ist -2 unzul‰ssig.";-2;
EtCO2Wert2;siehe Hinweise/ Plausibilit‰ten/ Abh‰ngigkeiten;E;etCO2  Wert (zuletzt unter Beatmung in mmHg gemessen): Werteliste siehe Tabellenblatt Codes;NA + RD;"Bedeutet Kapnometrie durchgef¸hrt, wenn Angabe im  Wertebereich oder 999.
Pflicht wenn Atemwegssicherung oder maschinelle invasive Beatmung (unterst¸tzt oder kontrolliert) dokumentiert.";"Pflicht wenn:
Airway GLEICH  (03 ODER  05 ODER  07)
ODER  Atemunterst GLEICH  05
Wenn EtCO2Wert2 Pflicht, dann ist -2 unzul‰ssig.";-2;
